Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-04-07,15099,425,590,236,43,146,120,2430,502,70,156,1051,199,283,1654,264,170,1136,94,1186,237,485,307,294,464,314,272,390,243,189,596,340,213
2020-04-08,17209,555,713,269,53,169,164,2814,620,73,218,1136,234,322,1856,285,195,1395,105,1343,272,501,335,317,562,359,294,424,267,180,645,343,191
2020-04-09,17950,571,692,269,63,180,184,2972,607,68,220,1213,211,309,1894,294,217,1475,121,1378,263,517,351,336,595,415,329,459,296,204,684,362,201
2020-04-10,19749,603,710,329,67,202,187,3505,621,82,225,1308,238,353,1980,366,223,1661,133,1429,279,554,384,355,660,472,361,489,328,242,750,427,226
2020-04-11,21277,630,733,374,69,215,187,3769,786,86,256,1379,243,359,2200,417,241,1689,141,1527,309,639,389,395,689,571,401,502,355,260,768,463,235
2020-04-12,21943,622,690,370,70,226,185,4160,829,84,253,1392,259,367,2204,430,226,1671,146,1554,316,678,389,388,715,628,439,498,383,269,767,495,240
2020-04-13,23040,627,722,438,76,230,208,4471,899,84,249,1440,274,369,2279,451,246,1725,151,1579,320,738,392,399,766,673,461,498,413,290,832,497,243
2020-04-14,23900,705,766,484,95,234,211,4628,920,92,248,1496,279,377,2350,469,266,1800,158,1634,330,762,419,403,800,680,465,502,438,296,838,511,244
2020-04-15,25138,737,785,488,103,245,224,4921,984,92,250,1565,306,386,2438,484,281,1860,161,1806,342,788,428,417,832,716,490,511,484,365,879,522,248
2020-04-16,26511,769,823,514,110,265,266,5249,1108,92,274,1587,306,392,2477,490,296,1920,170,2045,348,834,442,421,879,744,502,518,577,381,897,539,276
2020-04-17,28126,830,846,519,125,277,277,5768,1212,103,285,1725,338,395,2601,588,322,1974,181,2103,359,867,450,430,925,787,525,522,628,410,914,553,287
2020-04-18,29301,842,869,523,134,292,315,6127,1245,106,291,1753,343,401,2666,645,333,2020,186,2200,367,885,462,450,949,818,540,533,711,429,920,641,305
2020-04-19,31170,863,912,581,141,306,326,6681,1353,108,298,1922,363,408,2805,700,338,2155,192,2204,394,967,478,457,985,865,569,571,815,451,1004,652,306
2020-04-20,32490,866,957,604,145,313,334,6875,1607,108,337,1990,378,412,2936,764,349,2198,196,2311,402,977,483,478,1003,902,611,608,840,459,1021,696,330
2020-04-21,33871,881,1044,665,164,321,340,7125,1716,109,361,2090,385,433,2979,816,359,2323,209,2429,414,1006,504,489,1022,919,643,659,914,474,1033,707,338
2020-04-22,37444,913,1150,709,174,335,389,7884,2106,111,420,2217,403,462,3436,870,379,2538,220,2767,437,1057,527,571,1097,1010,709,721,1031,502,1191,741,367
2020-04-23,39664,971,1174,720,178,349,409,8422,2186,114,445,2409,428,469,3611,932,402,2618,239,3097,444,1086,541,584,1128,1035,744,822,1122,539,1259,801,386
2020-04-24,41573,1009,1222,730,190,370,451,8911,2296,120,459,2484,450,480,3727,992,409,2765,256,3324,445,1144,548,601,1160,1063,774,870,1218,548,1326,815,416
2020-04-25,43419,1023,1265,756,192,398,473,9176,2397,143,500,2589,460,489,3857,1042,418,2885,259,3664,460,1205,564,612,1209,1079,814,956,1248,569,1379,890,448
2020-04-26,45346,1029,1298,783,221,413,497,9447,2509,145,521,2760,487,508,3947,1069,427,2985,269,4153,466,1227,567,621,1260,1091,858,973,1426,579,1427,920,463
2020-04-27,46960,1061,1314,785,235,430,499,9744,2613,149,533,2873,495,518,4197,1080,432,3038,274,4355,499,1259,574,640,1292,1112,889,1007,1482,592,1535,976,478
2020-04-28,49033,1124,1347,798,245,450,523,10103,2697,154,541,3057,524,553,4449,1200,470,3140,283,4537,509,1301,594,654,1334,1139,910,1092,1559,630,1592,1009,515
2020-04-29,50850,1223,1390,801,256,472,549,10485,2730,159,573,3272,535,564,4570,1245,481,3173,307,4699,522,1329,624,658,1382,1153,934,1157,1712,675,1624,1050,546
2020-04-30,52628,1355,1411,829,272,491,589,10736,2775,166,606,3488,557,575,4682,1320,496,3301,358,4814,533,1362,632,676,1415,1183,967,1199,1789,697,1674,1093,587
2020-05-01,55003,1449,1415,858,287,509,621,11027,2948,173,639,3800,581,589,4914,1389,509,3457,366,4976,557,1408,667,706,1479,1245,989,1264,1924,730,1709,1209,609
2020-05-02,57167,1572,1425,886,299,532,658,11558,3060,180,654,4071,598,596,5035,1490,525,3551,379,5101,589,1462,672,735,1530,1270,1001,1309,1986,781,1772,1267,623
2020-05-03,59704,1605,1460,897,303,553,704,12533,3115,180,656,4276,629,596,5233,1518,540,3678,393,5335,605,1494,686,748,1579,1343,1049,1337,2110,790,1817,1314,628
2020-05-04,61993,1656,1472,901,307,559,731,13396,3204,185,681,4409,656,610,5480,1566,572,3843,408,5527,614,1525,699,752,1605,1385,1070,1384,2145,801,1875,1328,647
2020-05-05,63540,1707,1545,920,313,557,774,13819,3214,187,688,4606,684,633,5575,1609,579,3905,414,5567,626,1575,711,755,1634,1439,1096,1440,2204,834,1888,1388,654
2020-05-06,65807,1751,1595,932,324,574,785,14637,3232,190,791,4789,708,653,5689,1657,606,4090,430,5764,629,1593,722,767,1694,1499,1124,1476,2214,849,1919,1445,679
