Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-03-16,170,3,15,0,1,0,2,42,1,3,0,10,0,1,18,0,1,15,0,2,2,2,10,9,8,4,2,1,1,0,8,8,1
2020-03-17,204,8,16,0,0,2,2,58,5,2,0,12,6,1,3,3,1,22,1,1,6,3,8,19,7,1,0,1,2,0,8,4,2
2020-03-18,314,10,25,0,1,0,1,80,10,2,3,6,14,5,15,2,1,41,2,8,1,10,5,12,16,5,9,0,2,0,20,8,0
2020-03-19,448,9,35,6,2,0,3,82,13,3,4,15,10,7,13,10,4,63,3,35,8,17,10,29,9,4,11,0,5,2,25,7,4
2020-03-20,606,17,45,3,2,1,6,121,17,6,8,31,10,8,55,16,10,83,3,1,7,18,17,23,14,5,13,11,8,5,30,10,2
2020-03-21,697,24,36,8,3,2,6,93,23,3,1,34,12,31,96,11,6,117,1,5,0,33,9,27,17,10,17,17,3,10,24,11,7
2020-03-22,793,34,36,13,3,6,4,140,21,4,1,88,12,13,120,11,2,71,1,4,2,40,16,38,24,9,7,21,4,12,27,3,6
2020-03-23,825,13,47,5,4,1,7,186,14,5,5,75,9,11,142,10,2,83,1,6,0,42,25,19,21,12,13,18,3,6,28,8,4
2020-03-24,1219,37,95,20,1,6,6,231,35,9,6,84,13,17,195,14,13,154,3,1,10,38,31,20,23,23,16,29,9,13,42,16,9
2020-03-25,1656,52,116,15,2,10,8,238,34,9,15,93,13,22,232,24,13,228,3,75,11,66,41,30,31,46,35,53,13,15,69,16,28
2020-03-26,2156,59,136,20,3,16,5,401,54,11,24,107,19,24,220,36,21,289,8,103,24,68,46,37,45,54,48,46,17,35,130,18,32
