Fecha,Nuevas_JH,Nuevas_abiertos,Nuevas_JH_promedio,Nuevas_abiertos_promedio
2020-02-07,0,1,,
2020-02-08,0,0,,
2020-02-09,0,0,,
2020-02-10,0,0,,
2020-02-11,0,0,,
2020-02-12,0,0,,
2020-02-13,0,0,0.0,0.14
2020-02-14,0,0,0.0,0.0
2020-02-15,0,0,0.0,0.0
2020-02-16,0,0,0.0,0.0
2020-02-17,0,0,0.0,0.0
2020-02-18,0,0,0.0,0.0
2020-02-19,0,0,0.0,0.0
2020-02-20,0,0,0.0,0.0
2020-02-21,0,0,0.0,0.0
2020-02-22,0,0,0.0,0.0
2020-02-23,0,0,0.0,0.0
2020-02-24,0,1,0.0,0.14
2020-02-25,0,0,0.0,0.14
2020-02-26,0,0,0.0,0.14
2020-02-27,0,0,0.0,0.14
2020-02-28,0,0,0.0,0.14
2020-02-29,0,0,0.0,0.14
2020-03-01,0,0,0.0,0.14
2020-03-02,0,0,0.0,0.0
2020-03-03,0,1,0.0,0.14
2020-03-04,0,0,0.0,0.14
2020-03-05,0,0,0.0,0.14
2020-03-06,0,0,0.0,0.14
2020-03-07,0,0,0.0,0.14
2020-03-08,0,0,0.0,0.14
2020-03-09,0,0,0.0,0.14
2020-03-10,0,0,0.0,0.0
2020-03-11,0,0,0.0,0.0
2020-03-12,0,0,0.0,0.0
2020-03-13,0,1,0.0,0.14
2020-03-14,0,0,0.0,0.14
2020-03-15,0,0,0.0,0.14
2020-03-16,0,0,0.0,0.14
2020-03-17,0,2,0.0,0.43
2020-03-18,0,3,0.0,0.86
2020-03-19,1,0,0.14,0.86
2020-03-20,1,1,0.29,0.86
2020-03-21,0,0,0.29,0.86
2020-03-22,0,2,0.29,1.14
2020-03-23,2,1,0.57,1.29
2020-03-24,1,2,0.71,1.29
2020-03-25,1,2,0.86,1.14
2020-03-26,2,8,1.0,2.29
2020-03-27,4,8,1.43,3.29
2020-03-28,4,15,2.0,5.43
2020-03-29,4,9,2.57,6.43
2020-03-30,8,12,3.43,8.0
2020-03-31,1,22,3.43,10.86
2020-04-01,8,20,4.43,13.43
2020-04-02,13,27,6.0,16.14
2020-04-03,10,33,6.86,19.71
2020-04-04,19,34,9.0,22.43
2020-04-05,15,31,10.57,25.57
2020-04-06,31,52,13.86,31.29
2020-04-07,16,56,16.0,36.14
2020-04-08,33,49,19.57,40.29
2020-04-09,20,55,20.57,44.29
2020-04-10,39,70,24.71,49.57
2020-04-11,40,71,27.71,54.86
2020-04-12,23,72,28.86,60.71
2020-04-13,36,87,29.57,65.71
2020-04-14,74,96,37.86,71.43
2020-04-15,43,99,39.29,78.57
2020-04-16,37,90,41.71,83.57
2020-04-17,60,118,44.71,90.43
2020-04-18,104,121,53.86,97.57
2020-04-19,36,148,55.71,108.43
2020-04-20,26,176,54.29,121.14
2020-04-21,145,176,64.43,132.57
2020-04-22,113,174,74.43,143.29
2020-04-23,99,186,83.29,157.0
2020-04-24,152,219,96.43,171.43
2020-04-25,84,239,93.57,188.29
2020-04-26,46,261,95.0,204.43
2020-04-27,83,231,103.14,212.29
2020-04-28,135,241,101.71,221.57
2020-04-29,163,314,108.86,241.57
2020-04-30,127,289,112.86,256.29
2020-05-01,113,339,107.29,273.43
2020-05-02,89,296,108.0,281.57
2020-05-03,93,286,114.71,285.14
2020-05-04,116,356,119.43,303.0
2020-05-05,237,342,134.0,317.43
2020-05-06,197,330,138.86,319.71
2020-05-07,257,320,157.43,324.14
2020-05-08,199,353,169.71,326.14
2020-05-09,193,344,184.57,333.0
2020-05-10,112,352,187.29,342.43
2020-05-11,108,374,186.14,345.0
2020-05-12,353,397,202.71,352.86
2020-05-13,294,412,216.57,364.57
2020-05-14,257,460,216.57,384.57
2020-05-15,290,469,229.57,401.14
2020-05-16,278,436,241.71,414.29
2020-05-17,132,505,244.57,436.14
2020-05-18,155,503,251.29,454.57
2020-05-19,334,505,248.57,470.0
2020-05-20,424,496,267.14,482.0
2020-05-21,420,494,290.43,486.86
2020-05-22,479,482,317.43,488.71
2020-05-23,190,475,304.86,494.29
2020-05-24,215,527,316.71,497.43
2020-05-25,239,548,328.71,503.86
2020-05-26,501,540,352.57,508.86
2020-05-27,463,525,358.14,513.0
2020-05-28,447,550,362.0,521.0
2020-05-29,371,506,346.57,524.43
2020-05-30,364,545,371.43,534.43
2020-05-31,151,571,362.29,540.71
2020-06-01,237,619,362.0,550.86
2020-06-02,470,569,357.57,555.0
2020-06-03,1091,612,447.29,567.43
2020-06-04,817,595,500.14,573.86
2020-06-05,625,561,536.43,581.71
2020-06-06,341,603,533.14,590.0
2020-06-07,188,641,538.43,600.0
2020-06-08,354,689,555.14,610.0
2020-06-09,596,639,573.14,620.0
2020-06-10,708,659,518.43,626.71
2020-06-11,587,615,485.57,629.57
2020-06-12,504,672,468.29,645.43
2020-06-13,424,632,480.14,649.57
2020-06-14,269,663,491.71,652.71
2020-06-15,439,664,503.86,649.14
2020-06-16,730,732,523.0,662.43
2020-06-17,770,711,531.86,669.86
2020-06-18,667,634,543.29,672.57
2020-06-19,647,617,563.71,664.71
2020-06-20,387,559,558.43,654.29
2020-06-21,1044,642,669.14,651.29
2020-06-22,759,636,714.86,647.29
2020-06-23,793,610,723.86,629.86
2020-06-24,947,609,749.14,615.29
2020-06-25,736,588,759.0,608.71
2020-06-26,719,653,769.29,613.86
2020-06-27,602,658,800.0,628.0
2020-06-28,267,650,689.0,629.14
2020-06-29,473,706,648.14,639.14
2020-06-30,648,678,627.43,648.86
2020-07-01,741,653,598.0,655.14
2020-07-02,679,660,589.86,665.43
2020-07-03,654,657,580.57,666.0
2020-07-04,523,697,569.29,671.57
2020-07-05,273,720,570.14,681.57
2020-07-06,480,784,571.14,692.71
2020-07-07,895,777,606.43,706.86
2020-07-08,782,708,612.29,714.71
2020-07-09,730,730,619.57,724.71
2020-07-10,665,690,621.14,729.43
2020-07-11,539,710,623.43,731.29
2020-07-12,276,715,623.86,730.57
2020-07-13,485,788,624.57,731.14
2020-07-14,836,759,616.14,728.57
2020-07-15,579,768,587.14,737.14
2020-07-16,668,777,578.29,743.86
2020-07-17,736,724,588.43,748.71
2020-07-18,578,712,594.0,749.0
2020-07-19,296,769,596.86,756.71
2020-07-20,301,767,570.57,753.71
2020-07-21,915,794,581.86,758.71
2020-07-22,790,697,612.0,748.57
2020-07-23,718,753,619.14,745.14
2020-07-24,737,707,619.29,742.71
2020-07-25,729,746,640.86,747.57
2020-07-26,306,761,642.29,746.43
2020-07-27,342,761,648.14,745.57
2020-07-28,854,736,639.43,737.29
2020-07-29,485,652,595.86,730.86
2020-07-30,639,724,584.57,726.71
2020-07-31,688,655,577.57,719.29
2020-08-01,784,705,585.43,713.43
2020-08-02,274,657,580.86,698.57
2020-08-03,266,724,570.0,693.29
2020-08-04,857,746,570.43,694.71
2020-08-05,829,688,619.57,699.86
2020-08-06,819,673,645.29,692.57
2020-08-07,794,620,660.43,687.57
2020-08-08,695,658,647.71,680.86
2020-08-09,292,633,650.29,677.43
2020-08-10,705,658,713.0,668.0
2020-08-11,926,660,722.86,655.71
2020-08-12,737,590,709.71,641.71
2020-08-13,627,591,682.29,630.0
2020-08-14,615,554,656.71,620.57
2020-08-15,635,552,648.14,605.43
2020-08-16,214,555,637.0,594.29
2020-08-17,266,601,574.29,586.14
2020-08-18,751,535,549.29,568.29
2020-08-19,707,569,545.0,565.29
2020-08-20,625,529,544.71,556.43
2020-08-21,504,535,528.86,553.71
2020-08-22,644,541,530.14,552.14
2020-08-23,226,500,531.86,544.29
2020-08-24,320,515,539.57,532.0
2020-08-25,0,533,432.29,531.71
2020-08-26,1276,508,513.57,523.0
2020-08-27,518,476,498.29,515.43
2020-08-28,552,515,505.14,512.57
2020-08-29,673,494,509.29,505.86
2020-08-30,339,507,525.43,506.86
2020-08-31,256,530,516.29,509.0
2020-09-01,827,484,634.43,502.0
2020-09-02,575,475,534.29,497.29
2020-09-03,513,473,533.57,496.86
2020-09-04,522,458,529.29,488.71
2020-09-05,475,438,501.0,480.71
2020-09-06,232,447,485.71,472.14
2020-09-07,223,469,481.0,463.43
2020-09-08,703,420,463.29,454.29
2020-09-09,611,459,468.43,452.0
2020-09-10,0,417,395.14,444.0
2020-09-11,1088,421,476.0,438.71
2020-09-12,421,448,468.29,440.14
2020-09-13,217,378,466.14,430.29
2020-09-14,228,435,466.86,425.43
2020-09-15,629,428,456.29,426.57
2020-09-16,300,400,411.86,418.14
2020-09-17,201,383,440.57,413.29
2020-09-18,624,348,374.29,402.86
2020-09-19,455,383,379.14,393.57
2020-09-20,235,404,381.71,397.29
2020-09-21,204,394,378.29,391.43
2020-09-22,651,406,381.43,388.29
2020-09-23,601,380,424.43,385.43
2020-09-24,490,393,465.71,386.86
2020-09-25,405,350,434.43,387.14
2020-09-26,399,369,426.43,385.14
2020-09-27,187,348,419.57,377.14
2020-09-28,173,353,415.14,371.29
2020-09-29,560,353,402.14,363.71
2020-09-30,483,340,385.29,358.0
2020-10-01,432,351,377.0,352.0
2020-10-02,414,345,378.29,351.29
2020-10-03,0,354,321.29,349.14
2020-10-04,596,336,379.71,347.43
2020-10-05,180,359,380.71,348.29
2020-10-06,446,348,364.43,347.57
2020-10-07,3012,333,725.71,346.57
2020-10-08,370,337,716.86,344.57
2020-10-09,411,311,716.43,339.71
2020-10-10,135,365,735.71,341.29
2020-10-11,139,351,670.43,343.43
2020-10-12,164,403,668.14,349.71
2020-10-13,475,365,672.29,352.14
2020-10-14,478,351,310.29,354.71
2020-10-15,387,373,312.71,359.86
2020-10-16,419,353,313.86,365.86
2020-10-17,355,376,345.29,367.43
2020-10-18,108,385,340.86,372.29
2020-10-19,171,453,341.86,379.43
2020-10-20,555,402,353.29,384.71
2020-10-21,522,454,359.57,399.43
2020-10-22,479,440,372.71,409.0
2020-10-23,418,426,372.57,419.43
2020-10-24,431,413,383.43,424.71
2020-10-25,181,465,393.86,436.14
2020-10-26,247,465,404.71,437.86
2020-10-27,643,438,417.29,443.0
2020-10-28,495,448,413.43,442.14
2020-10-29,464,449,411.29,443.43
2020-10-30,516,437,425.29,445.0
2020-10-31,464,416,430.0,445.43
2020-11-01,142,425,424.43,439.71
