Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-01-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-01-30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-01-31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-24,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-25,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-26,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-27,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-02-28,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-02-29,8,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-01,8,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-02,8,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-03,8,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-04,8,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-05,9,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-06,9,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-07,10,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-08,13,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
2020-03-09,14,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
2020-03-10,21,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,1,3,0,2,0,0,2,0,0,2,0,0,0,0,0,1,0
2020-03-11,43,0,1,0,0,1,0,21,1,0,1,0,0,0,1,0,1,3,0,6,0,1,3,0,0,2,0,0,0,0,0,1,0
2020-03-12,66,1,1,0,1,1,0,36,1,0,1,0,0,0,4,0,1,3,0,6,0,2,4,0,0,2,0,0,0,0,0,2,0
2020-03-13,121,1,1,0,1,1,0,60,1,0,2,1,2,0,6,0,1,13,0,11,2,6,6,0,2,2,0,0,0,0,0,2,0
2020-03-14,170,2,1,0,1,1,1,85,1,1,3,1,2,0,11,0,1,15,0,17,2,9,7,3,2,2,0,0,0,0,0,2,0
2020-03-15,199,2,1,0,1,1,1,99,1,1,3,3,2,0,12,0,1,17,0,17,2,11,7,3,2,2,1,0,1,0,2,6,0
2020-03-16,256,2,2,0,1,1,1,121,1,2,3,5,4,0,23,0,1,21,0,23,2,12,7,6,3,2,1,0,2,0,2,8,0
2020-03-17,344,2,5,1,1,1,1,156,3,2,3,5,9,2,28,0,2,23,0,29,2,17,9,10,8,3,3,1,2,0,2,14,0
2020-03-18,437,5,8,2,1,2,2,187,5,2,4,6,10,2,45,1,3,25,1,38,2,23,11,10,8,3,3,4,2,0,8,14,0
2020-03-19,529,6,10,2,1,2,3,227,8,2,4,6,10,2,54,1,3,29,2,42,2,30,14,14,11,3,3,6,3,0,13,16,0
2020-03-20,611,8,13,3,1,2,5,247,11,2,4,9,10,4,57,3,3,37,2,54,2,35,15,16,14,3,4,8,4,0,14,20,1
2020-03-21,657,9,14,4,1,2,6,251,11,2,4,20,11,7,58,8,3,38,2,57,3,37,16,19,17,3,5,8,4,0,15,20,2
2020-03-22,686,10,16,4,1,2,6,257,11,2,4,21,11,7,60,8,3,39,2,60,4,38,16,21,18,3,5,8,5,0,15,26,3
2020-03-23,775,14,21,8,1,3,6,273,11,2,4,27,12,8,68,10,5,42,3,64,6,45,18,24,19,5,6,9,6,2,19,31,3
2020-03-24,890,14,23,10,1,3,7,293,16,2,5,27,12,8,74,13,7,59,5,69,7,57,22,30,19,8,9,20,6,3,19,38,4
2020-03-25,990,29,28,10,1,5,7,308,16,2,5,30,14,10,80,14,7,78,5,69,10,62,24,35,19,13,11,23,6,3,21,41,4
2020-03-26,1101,32,37,11,1,5,8,336,18,2,5,35,16,13,86,17,7,99,5,69,13,70,24,39,20,15,12,28,6,3,24,41,4
2020-03-27,1227,38,43,14,4,10,8,353,21,2,5,38,18,15,91,18,7,124,5,76,15,73,26,41,25,19,15,39,7,4,24,43,6
2020-03-28,1306,43,47,16,4,10,9,383,24,2,5,40,19,15,91,18,7,130,5,78,16,82,28,43,25,20,16,40,10,5,24,44,7
2020-03-29,1382,45,56,16,4,10,10,406,31,2,5,41,20,16,91,20,7,133,5,81,18,85,29,43,29,22,16,48,11,5,25,45,7
2020-03-30,1604,49,75,30,4,12,12,459,44,2,6,45,22,21,97,20,7,168,5,82,20,93,30,59,32,28,18,54,15,6,28,54,7
2020-03-31,1794,50,102,37,4,14,12,497,56,2,8,47,25,25,100,23,8,189,7,82,25,109,35,65,34,34,21,64,19,6,29,58,7
2020-04-01,1968,50,132,41,4,16,14,534,73,4,9,47,27,26,102,23,11,208,7,83,26,116,37,75,34,39,21,69,27,9,34,63,7
2020-04-02,2158,50,147,51,4,18,16,587,92,4,9,48,28,27,107,24,16,230,7,88,26,127,38,82,34,49,21,82,27,9,37,65,8
2020-04-03,2372,51,168,66,4,23,17,637,116,4,9,49,29,28,117,25,16,250,7,89,27,138,38,89,34,54,22,100,35,9,41,72,8
2020-04-04,2467,51,171,70,4,24,18,661,127,4,9,50,29,29,118,25,18,264,10,92,29,143,40,90,36,55,26,102,37,11,42,74,8
2020-04-05,2553,52,178,72,7,25,19,687,129,4,9,51,29,30,118,27,19,273,11,93,29,146,40,93,38,58,27,105,41,14,43,77,9
2020-04-06,2878,55,214,94,10,29,27,759,150,4,9,57,33,30,122,28,23,306,12,102,33,157,41,113,41,69,36,110,50,20,47,87,10
2020-04-07,3146,56,231,118,10,29,30,847,156,4,9,62,41,32,127,31,26,331,13,106,33,162,44,122,46,78,45,119,55,26,51,96,10
2020-04-08,3466,57,262,141,10,32,33,928,171,4,9,68,46,32,132,31,29,367,14,113,36,183,45,141,48,87,58,133,58,32,52,104,10
2020-04-09,3683,57,277,161,12,34,38,1012,175,4,9,68,49,32,137,38,34,377,16,114,37,189,46,146,52,93,61,140,62,33,59,111,10
2020-04-10,3936,60,297,166,12,35,40,1116,185,4,9,69,52,35,143,39,35,400,16,131,38,190,47,157,53,104,66,143,72,36,64,112,10
2020-04-11,4139,60,309,170,28,35,47,1191,193,4,9,72,55,35,147,40,35,413,18,136,40,196,49,164,55,109,70,148,75,43,66,115,12
