Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
2020-01-02,16,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2020-01-03,18,0,3,0,0,0,0,6,0,0,0,1,0,1,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-04,6,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,14,0,2,0,0,0,0,4,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-06,28,0,3,0,0,0,0,11,4,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0
2020-01-07,27,0,1,0,0,0,0,7,0,0,1,1,0,1,4,0,1,3,0,0,0,3,0,2,0,0,0,0,1,0,2,0,0
2020-01-08,16,0,1,0,0,0,0,4,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0
2020-01-09,45,1,2,2,0,0,0,16,0,0,1,0,0,1,14,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2020-01-10,39,0,3,0,0,0,0,16,0,0,1,1,1,0,9,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
2020-01-11,5,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,20,1,0,0,0,0,0,3,2,0,3,0,0,0,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2020-01-13,36,0,1,0,0,0,0,10,2,0,0,2,0,0,11,0,1,2,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0
2020-01-14,52,2,2,0,0,0,0,19,3,0,1,0,0,0,10,1,0,3,0,1,1,0,0,1,0,1,3,1,2,0,1,0,0
2020-01-15,59,2,7,1,0,0,0,10,7,0,1,0,0,1,17,0,0,2,0,3,0,0,0,1,0,1,3,0,2,0,1,0,0
2020-01-16,43,0,0,1,0,0,0,11,3,0,0,0,0,0,13,0,0,4,0,4,0,0,0,1,0,1,0,0,1,1,3,0,0
2020-01-17,42,0,3,0,0,0,0,12,2,0,0,2,0,1,15,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0
2020-01-18,16,0,0,0,0,0,1,1,0,0,0,1,0,0,8,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-19,21,0,1,0,0,0,0,6,1,0,4,1,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1
2020-01-20,65,0,5,1,0,0,0,19,3,0,1,1,0,0,12,0,1,2,0,11,0,0,0,1,1,0,0,0,1,1,3,2,0
2020-01-21,52,0,3,0,0,0,0,12,3,0,1,1,0,0,18,0,0,2,0,6,0,1,0,0,1,0,1,0,1,0,1,1,0
2020-01-22,56,0,2,0,0,0,2,11,5,0,1,2,0,1,18,0,1,5,0,3,1,0,0,1,1,0,0,0,1,0,1,0,0
2020-01-23,46,1,1,0,0,0,0,10,3,0,0,0,0,1,8,1,0,1,0,6,1,0,0,2,1,1,3,0,1,0,3,2,0
2020-01-24,46,1,2,0,0,0,0,12,2,0,0,0,0,0,7,0,2,2,0,3,1,2,0,0,1,1,0,0,4,0,6,0,0
2020-01-25,15,0,0,0,0,0,0,2,0,0,1,1,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0
2020-01-26,33,0,0,0,0,0,0,15,0,0,1,1,0,0,4,0,0,1,0,3,0,0,0,3,0,0,0,0,0,1,4,0,0
2020-01-27,43,0,3,1,0,1,0,6,5,0,2,0,0,0,11,1,0,2,0,3,0,0,0,0,0,1,1,1,1,1,3,0,0
2020-01-28,51,0,0,1,0,0,0,9,5,0,4,2,0,2,10,1,0,2,0,4,0,2,0,2,0,0,2,0,1,0,3,1,0
2020-01-29,31,0,2,0,0,0,0,4,5,0,0,0,0,0,9,0,0,2,0,2,0,0,0,2,0,1,2,0,0,0,2,0,0
2020-01-30,39,0,1,0,0,0,0,5,2,0,1,0,0,2,11,0,0,2,0,2,0,0,0,2,2,0,4,0,0,0,5,0,0
2020-01-31,32,1,2,0,0,0,0,5,5,0,0,2,0,0,12,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
2020-02-01,8,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,12,0,0,0,0,0,0,1,1,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
2020-02-03,13,0,2,0,0,0,0,0,2,0,2,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,51,0,1,0,0,0,0,14,7,0,0,3,0,1,7,0,0,3,0,1,0,0,0,2,2,7,1,0,0,0,1,1,0
2020-02-05,45,0,4,0,0,0,0,13,2,0,1,1,0,1,8,0,1,1,0,1,0,1,0,4,1,4,1,0,0,0,1,0,0
2020-02-06,44,0,2,0,0,0,0,2,4,0,0,2,0,0,6,0,0,5,0,4,0,0,0,3,1,4,2,0,2,1,4,2,0
2020-02-07,30,0,0,0,0,0,0,6,0,0,1,2,0,1,3,0,1,1,0,3,0,1,2,2,2,0,1,0,0,1,3,0,0
2020-02-08,8,0,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-09,16,0,1,0,0,0,0,5,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1
2020-02-10,71,0,0,1,0,0,0,19,5,0,3,5,0,0,9,0,0,2,0,7,0,0,0,3,1,2,0,2,2,2,6,0,2
2020-02-11,49,0,2,2,0,0,0,11,3,0,0,3,0,2,5,0,0,1,0,3,0,0,0,0,4,3,2,0,1,1,3,2,1
2020-02-12,40,0,1,1,0,0,0,3,1,0,1,3,0,0,12,0,0,3,0,3,2,0,0,2,0,4,0,1,2,0,1,0,0
2020-02-13,35,0,0,1,0,0,0,7,1,0,0,1,0,1,10,0,0,1,0,5,0,0,0,0,0,3,1,0,0,0,4,0,0
2020-02-14,32,0,0,1,0,0,0,5,1,0,0,0,0,1,8,1,0,3,0,1,0,0,1,0,0,4,0,0,1,0,4,0,1
2020-02-15,9,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-02-16,17,0,0,0,0,0,0,1,0,0,2,3,0,0,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0
2020-02-17,28,1,1,0,0,0,0,3,4,0,1,1,0,0,7,0,0,2,0,4,0,0,0,0,0,2,1,1,0,0,0,0,0
2020-02-18,30,1,2,0,0,0,0,3,5,0,1,2,0,0,5,1,0,0,0,2,0,0,0,1,1,1,1,1,0,0,3,0,0
2020-02-19,30,1,1,0,0,0,0,3,3,0,0,1,0,0,8,0,0,0,0,1,0,0,0,1,0,4,1,0,1,0,4,1,0
2020-02-20,23,1,1,0,1,0,0,2,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,3,0,0
2020-02-21,26,1,2,0,0,0,0,6,0,0,0,0,1,0,6,0,0,3,0,2,0,1,0,0,0,1,0,0,0,0,2,1,0
2020-02-22,12,0,1,0,0,0,0,3,0,0,0,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-23,9,0,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-24,32,0,0,1,0,0,0,8,4,0,1,2,0,0,5,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,4,0,1
2020-02-25,32,0,1,1,0,0,0,8,3,0,1,1,0,1,3,0,0,3,0,4,0,0,0,1,1,2,0,0,0,0,2,0,0
2020-02-26,38,0,0,2,0,0,1,9,3,0,0,1,0,1,10,0,0,4,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0
2020-02-27,44,1,1,1,1,0,0,16,5,0,1,1,0,1,4,0,0,2,0,3,0,0,0,1,0,1,0,0,2,0,2,1,0
2020-02-28,65,2,0,0,0,0,3,17,3,0,0,3,0,1,6,0,0,2,0,9,1,4,1,3,1,2,0,0,1,0,6,0,0
2020-02-29,25,0,1,0,0,1,0,6,1,1,1,3,0,2,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0
2020-03-01,27,0,0,0,0,0,0,3,1,2,0,5,0,0,3,0,1,2,0,2,1,2,0,0,0,0,0,0,0,0,4,1,0
2020-03-02,83,0,3,1,0,0,0,25,1,0,2,3,0,1,12,0,0,8,0,9,0,1,0,6,0,2,2,2,0,0,1,3,1
2020-03-03,74,2,5,0,0,0,1,9,3,0,2,1,1,0,8,0,0,10,1,12,1,0,2,1,0,0,1,2,2,0,6,4,0
2020-03-04,69,0,4,1,0,0,0,18,2,0,1,2,0,2,10,0,0,7,0,7,0,1,1,0,4,1,1,1,0,0,2,2,2
2020-03-05,65,3,0,2,0,0,1,18,2,1,2,3,0,1,3,0,0,3,0,7,0,0,0,2,1,2,1,1,1,1,4,6,0
2020-03-06,53,2,0,0,0,0,0,18,0,0,1,0,0,1,9,0,1,4,0,4,1,0,0,3,0,1,1,0,2,0,5,0,0
2020-03-07,25,0,2,1,0,0,1,7,1,0,0,1,0,2,2,1,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0
2020-03-08,35,1,1,0,0,0,0,10,4,0,1,0,1,0,2,0,0,5,0,3,0,0,0,1,0,1,0,0,2,0,2,1,0
2020-03-09,80,0,7,3,0,0,0,23,3,1,7,2,3,2,4,0,1,6,0,9,0,0,0,2,0,2,0,0,0,1,3,1,0
2020-03-10,106,3,4,2,0,0,1,34,6,0,0,3,0,3,11,0,0,7,0,9,0,2,2,2,2,3,1,1,3,2,2,1,2
2020-03-11,135,2,5,1,0,0,0,55,2,4,2,1,0,3,10,0,1,9,0,13,1,13,1,4,1,1,0,2,0,0,3,0,1
2020-03-12,205,5,6,2,1,1,1,77,6,3,2,8,0,4,17,1,0,8,0,25,2,6,2,4,4,3,1,0,2,2,3,6,3
2020-03-13,282,1,14,2,0,2,1,82,2,0,2,11,7,0,20,8,0,27,0,46,2,14,9,5,5,3,1,2,2,1,9,2,2
2020-03-14,164,2,4,1,0,3,3,73,2,1,2,2,0,0,11,1,1,5,0,19,3,7,5,8,2,3,0,0,0,1,4,1,0
2020-03-15,172,9,2,1,1,1,1,55,5,2,1,5,1,1,15,0,2,9,1,7,1,7,3,6,10,4,2,1,3,0,4,11,1
2020-03-16,266,8,9,3,1,2,1,83,7,1,0,10,4,1,24,3,2,11,3,35,3,6,4,14,6,4,2,2,1,1,6,7,2
2020-03-17,455,7,13,3,0,1,6,135,8,0,5,9,9,13,44,4,2,21,0,49,5,21,4,14,14,7,11,2,5,1,27,12,3
2020-03-18,505,22,30,7,0,3,2,129,14,3,3,14,3,2,63,7,3,17,3,44,5,28,11,13,3,13,12,4,3,3,24,12,5
2020-03-19,592,13,26,2,0,3,8,164,14,3,6,27,2,2,61,8,7,27,1,50,8,30,18,18,11,11,7,11,7,9,20,15,3
2020-03-20,574,19,42,7,1,3,10,114,15,0,0,29,2,26,46,9,6,32,0,54,1,39,6,8,14,13,8,8,4,5,20,25,8
2020-03-21,397,14,21,7,0,6,3,48,11,0,2,51,1,4,31,14,1,27,3,36,3,17,18,10,18,4,7,8,4,5,7,9,7
2020-03-22,314,21,13,0,2,1,6,36,14,1,1,15,1,0,37,6,2,15,0,37,5,9,4,10,14,7,3,11,11,4,2,19,7
2020-03-23,840,22,68,16,1,5,6,110,11,6,7,53,13,12,100,15,13,57,6,67,9,35,20,18,27,25,13,21,12,9,21,32,10
2020-03-24,1133,36,52,11,2,13,5,197,28,9,13,54,6,16,107,17,15,82,6,102,11,50,25,29,38,43,26,18,14,7,41,34,26
2020-03-25,1246,44,64,17,2,10,20,190,44,7,9,88,16,21,122,34,11,91,4,99,23,45,18,35,38,42,28,20,11,8,49,18,18
2020-03-26,1219,39,64,15,4,7,16,187,30,3,18,94,17,41,84,22,11,99,9,59,17,53,30,35,40,39,20,41,24,13,62,11,15
2020-03-27,1468,42,74,21,8,23,17,255,56,1,22,77,20,37,132,22,9,156,11,80,37,33,27,29,60,49,25,39,14,21,40,18,13
2020-03-28,770,22,36,11,1,8,8,142,25,1,3,67,13,15,56,16,8,67,11,44,6,25,17,14,29,19,21,23,7,10,20,22,3
2020-03-29,748,33,40,11,6,10,12,125,44,3,3,19,13,14,70,12,15,63,6,41,16,24,11,9,34,25,12,17,14,8,15,18,5
2020-03-30,1676,43,78,43,7,16,19,242,85,5,9,90,29,28,114,35,14,208,16,79,13,80,24,56,43,52,40,56,24,20,60,38,10
2020-03-31,1506,29,86,38,5,23,19,213,68,6,13,90,24,22,109,25,15,144,11,73,26,61,41,40,47,40,37,59,28,13,63,27,11
2020-04-01,1590,42,104,33,3,22,19,237,69,10,16,80,19,24,90,32,20,154,13,95,24,45,31,39,60,59,37,44,39,25,58,42,5
2020-04-02,1698,43,64,39,9,21,20,317,112,2,30,100,19,15,103,24,24,146,9,81,42,59,22,32,50,66,31,40,26,15,64,42,31
2020-04-03,1744,43,66,43,6,19,16,371,135,5,16,90,10,26,129,41,14,169,6,87,28,62,24,30,32,49,22,59,34,14,48,40,10
2020-04-04,1073,31,40,27,2,12,15,169,73,0,27,35,9,11,118,23,13,132,10,51,14,27,8,16,31,63,21,21,13,6,16,25,14
2020-04-05,815,15,28,18,4,6,20,138,81,3,14,20,8,7,85,15,7,75,5,31,10,30,6,25,21,31,14,29,18,14,11,19,7
2020-04-06,1980,44,97,82,7,15,26,405,157,2,24,77,19,14,150,36,26,158,14,109,22,77,27,48,37,70,41,37,33,23,54,38,11
2020-04-07,1991,35,73,58,6,11,20,557,131,3,20,76,25,18,126,31,23,154,10,118,11,57,25,40,50,48,40,45,40,26,58,44,12
2020-04-08,2178,33,88,69,6,21,26,608,132,6,16,91,20,17,112,37,26,176,12,106,22,78,16,41,61,73,47,43,52,23,56,40,24
2020-04-09,1638,2,88,66,3,6,25,478,81,1,5,64,17,11,83,42,19,91,11,240,8,39,9,23,35,32,19,22,20,27,36,29,6
2020-04-10,1925,18,87,27,5,10,23,545,122,1,7,57,18,12,87,29,11,126,4,368,9,24,21,35,26,62,30,24,50,26,31,24,6
2020-04-11,1371,23,51,26,23,6,29,274,60,6,0,57,14,4,85,13,14,104,5,288,17,22,17,28,30,44,14,23,15,15,34,24,6
2020-04-12,1191,15,54,17,29,5,24,260,35,4,3,18,22,8,57,21,12,103,8,236,7,26,12,28,25,30,10,35,32,9,23,20,3
2020-04-13,2771,51,116,57,23,18,49,790,122,4,12,65,39,12,124,59,29,249,11,206,21,93,31,45,54,107,54,48,80,56,69,63,14
2020-04-14,2869,44,146,49,16,24,32,864,129,3,18,78,23,22,98,53,36,236,11,317,14,64,28,30,52,87,36,79,84,55,69,57,15
2020-04-15,2763,72,142,42,10,19,44,763,103,10,19,129,28,9,121,57,28,246,12,286,15,63,22,36,33,93,44,59,83,22,79,55,19
2020-04-16,2658,41,126,32,13,14,47,772,147,5,21,113,34,9,114,91,23,226,13,234,11,50,20,46,31,72,43,77,96,18,70,37,12
2020-04-17,2996,37,142,23,8,24,32,971,122,5,13,186,34,21,145,122,26,207,10,164,21,68,16,41,42,74,44,107,103,38,85,56,9
2020-04-18,1601,30,67,16,16,16,21,394,46,2,7,73,16,18,72,34,13,183,13,62,11,46,9,53,29,44,31,71,87,20,39,31,31
2020-04-19,1469,29,58,16,8,15,29,382,25,8,18,48,16,21,36,32,19,189,5,64,9,35,9,32,27,52,29,94,46,13,43,51,11
2020-04-20,3533,100,158,26,35,29,60,1060,117,9,25,186,45,31,197,94,51,321,17,136,18,79,24,55,38,97,44,106,132,30,113,73,27
2020-04-21,3270,73,162,42,21,39,54,1040,106,7,40,210,39,23,165,68,39,323,15,82,11,52,19,54,43,66,48,132,71,31,114,57,24
2020-04-22,3162,59,137,17,13,24,59,986,98,7,14,234,30,30,225,56,41,309,15,64,17,56,17,44,37,73,56,129,117,27,86,57,28
