Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-01-01,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,7,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-01-03,8,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
2020-01-04,6,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-05,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0
2020-01-06,24,0,1,0,0,0,1,5,2,0,0,0,1,2,3,0,0,2,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1
2020-01-07,16,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,1,2,1,0,0
2020-01-08,7,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
2020-01-09,15,0,0,0,0,0,1,3,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2
2020-01-10,15,0,0,0,0,0,0,1,2,0,2,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0
2020-01-11,15,0,1,0,0,0,0,2,1,0,1,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0
2020-01-12,11,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
2020-01-13,20,0,0,1,0,0,3,3,1,0,0,1,0,0,0,2,1,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
2020-01-14,20,0,1,1,0,0,0,1,0,0,3,0,0,0,0,1,2,0,0,3,3,0,0,0,3,0,1,0,0,0,1,0,0
2020-01-15,21,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,9,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-01-16,13,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,19,0,0,1,0,0,0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,3,0,0
2020-01-18,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-19,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
2020-01-20,25,0,0,0,0,1,1,7,1,0,0,0,0,1,2,2,0,2,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0
2020-01-21,16,0,0,0,0,0,0,5,2,0,0,0,1,0,2,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0
2020-01-22,21,1,0,0,0,0,0,2,2,0,0,0,0,1,3,0,0,2,0,0,2,0,2,0,0,0,1,1,2,0,2,0,0
2020-01-23,20,0,4,0,0,0,0,3,1,0,0,0,2,0,1,1,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
2020-01-24,16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,2,1,0,0,1,3,0,0,0,0,2
2020-01-25,9,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
2020-01-26,14,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
2020-01-27,39,0,1,3,0,0,1,3,9,0,0,0,0,0,1,0,0,7,0,1,0,5,1,1,0,0,3,0,0,0,1,0,2
2020-01-28,21,1,1,1,0,0,0,2,5,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,2
2020-01-29,19,2,1,2,0,0,1,0,2,0,0,0,0,0,3,0,1,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
2020-01-30,21,2,0,1,0,0,0,4,5,0,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-01-31,14,2,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0
2020-02-01,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,7,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2020-02-03,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2020-02-04,18,0,1,1,0,0,0,1,3,0,1,0,0,0,1,1,0,0,0,3,1,0,1,0,1,1,1,1,0,0,0,0,0
2020-02-05,18,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,2,1,0,1,0,0
2020-02-06,12,0,0,1,0,0,1,1,1,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-02-07,9,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-02-08,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-02-10,20,0,0,1,0,0,0,6,3,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,0
2020-02-11,17,0,1,1,0,0,1,0,4,0,2,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
2020-02-12,18,0,0,1,0,0,1,1,2,0,1,0,1,0,0,3,0,1,0,0,0,0,2,0,3,0,0,1,0,0,0,0,1
2020-02-13,13,2,0,1,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
2020-02-14,11,1,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2020-02-15,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-16,8,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-17,25,1,0,5,0,0,1,3,4,0,0,0,0,0,1,0,1,1,0,3,0,0,2,0,0,0,0,0,1,0,2,0,0
2020-02-18,18,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,2,1,1,3,2,0,0,1,0,1,0,0,0,0,1,0,0
2020-02-19,13,0,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,1
2020-02-20,10,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2020-02-21,13,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,1,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-22,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2020-02-23,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
2020-02-24,26,0,1,0,0,0,1,2,0,0,1,0,0,0,2,2,1,0,0,0,2,1,2,1,5,0,1,2,1,1,0,0,0
2020-02-25,23,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,1,5,1,1,0,2,1,1,0,0
2020-02-26,24,0,0,0,0,0,0,4,1,0,0,1,0,2,0,2,1,4,1,0,1,1,0,0,2,0,1,0,1,0,1,0,1
2020-02-27,29,0,1,1,0,0,0,4,2,0,0,1,2,0,2,2,1,0,0,1,3,0,0,1,2,1,0,0,0,0,5,0,0
