Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Colima,Chiapas,Chihuahua,Ciudad De México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán,Zacatecas
2020-02-27,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-28,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-29,6,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-04,8,0,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-05,9,0,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-08,13,0,0,0,0,1,0,1,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2020-03-09,14,0,0,0,0,1,0,1,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2020-03-10,23,0,0,0,0,1,0,1,0,9,0,0,0,0,0,6,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0
2020-03-11,49,0,1,0,0,1,0,1,0,25,1,0,0,0,1,7,0,0,0,6,0,1,3,0,0,1,0,0,0,0,0,1,0
2020-03-12,76,0,1,0,1,1,0,1,0,43,1,0,0,0,4,8,0,0,0,6,0,2,4,1,0,1,0,0,0,0,0,2,0
2020-03-13,136,0,1,0,1,1,0,1,0,70,2,1,2,0,6,19,0,0,0,11,2,6,6,1,2,2,0,0,0,0,0,2,0
2020-03-14,184,1,1,0,1,1,1,1,1,94,3,1,2,0,11,21,0,0,0,17,2,8,7,5,2,2,0,0,0,0,0,2,0
2020-03-15,219,1,1,0,1,1,1,1,1,110,3,3,2,1,12,25,0,0,0,17,2,11,7,5,2,2,1,0,1,0,2,6,0
2020-03-16,279,1,2,0,1,2,2,1,1,129,3,5,3,1,24,31,0,0,0,23,2,13,7,8,3,3,1,0,2,0,2,8,1
2020-03-17,360,2,5,0,1,4,2,1,1,160,4,5,5,3,30,33,0,1,0,29,2,17,9,12,7,4,3,1,2,0,2,14,1
2020-03-18,457,4,8,1,1,6,2,2,2,196,5,6,6,3,47,35,1,2,1,38,2,20,11,13,8,4,4,3,2,0,9,14,1
2020-03-19,558,5,13,1,1,9,2,2,3,239,5,6,6,3,55,41,2,2,2,42,3,26,14,18,11,4,4,5,3,0,14,16,1
2020-03-20,654,7,18,1,1,13,2,2,7,262,5,10,6,6,60,51,4,2,2,54,3,31,15,20,14,5,5,7,4,0,15,20,2
2020-03-21,719,8,21,2,1,13,2,2,8,273,6,21,7,9,61,57,9,3,2,58,4,34,16,23,18,5,6,7,4,0,16,20,3
2020-03-22,765,9,23,2,1,13,2,2,9,286,6,22,7,9,64,60,9,3,2,62,5,35,16,27,19,6,6,7,5,0,16,28,4
2020-03-23,887,13,31,6,2,13,2,5,9,313,7,28,8,11,72,69,12,5,3,67,7,43,19,32,21,8,7,10,6,2,20,32,4
2020-03-24,1041,13,40,8,2,17,3,5,10,343,8,29,8,11,79,93,15,8,6,72,8,58,23,39,21,13,11,20,7,4,22,40,5
